instance,size,time-relax,gap-relax,ub-relax,lb-relax,sol-relax,time-relax-heuLB,gap-relax-heuLB,ub-relax-heuLB,lb-relax-heuLB,sol-relax-heuLB,time-relax-CUT-heuLB,gap-relax-CUT-heuLB,ub-relax-CUT-heuLB,lb-relax-CUT-heuLB,sol-relax-CUT-heuLB,time-relax-itUB-CUT-heuLB,gap-relax-itUB-CUT-heuLB,ub-relax-itUB-CUT-heuLB,lb-relax-itUB-CUT-heuLB,sol-relax-itUB-CUT-heuLB
r015-003,15,0.955653,0.4974571331,6,1,5.96964,0.59617,0.4915969448,6,3,5.90083,0.480275,0.4368418089,6,3,5.3271,1.39156,0,3,3,3
r015-004,15,1.16929,0.283469498,7,1,6.97807,0.235565,0,7,5,5,0.210756,0,7,5,5,0.479623,0,5,5,5
r015-005,15,1.21926,0.2825873916,7,1,6.96949,0.226238,0,7,5,5,0.208242,0,7,5,5,0.422528,0,5,5,5
r015-006,15,1.55329,0.2829258918,7,1,6.97278,0.259336,0,7,5,5,0.298584,0,7,5,5,0.554089,0,5,5,5
r015-007,15,1.031,0.4259438918,7,1,6.96796,0.263408,0.4146338608,7,4,6.83333,0.228545,0.351351702,7,4,6.16667,0.987833,0,4,4,4
r015-008,15,2.06743,0.09711075441,10,1,9.968,0.190947,0,10,9,9,0.182027,0,10,9,9,0.49432,0,9,9,9
r015-009,15,1.43175,0.4269070028,7,1,6.97967,0.429509,0.4146338608,7,4,6.83333,0.392597,0.3644862189,7,4,6.29412,1.24988,0,4,4,4
r015-010,15,2.15748,0.6231648126,8,1,7.96104,1.29771,0.6200092971,8,3,7.89493,0.764165,0.5,8,3,6,2.6531,0,3,3,3
r015-011,15,1.14876,0.5690800577,7,1,6.96185,0.521757,0.5663542972,7,3,6.91809,0.37506,0.5327866938,7,3,6.42105,1.43672,0.25,4,3,4
r015-012,15,0.669464,0.4966442953,6,1,5.96,0.30329,0.4869111022,6,3,5.84694,0.283379,0.33999934,6,3,4.54545,0.942792,0,3,3,3
